id	nb_interventions	titre	id_dossier_an
1564	37	protocole annexe à la convention france-algérie sur la sécurité sociale	protocole_convention_algerie_securite_sociale
1557	41	accord de partenariat entre l'union européenne et le kazakhstan	accord_partenariat_ue_kazakhstan
1550	31	accord entre la france et la suisse relatif à la fiscalité applicable dans l'enceinte de l'aéroport de bâle-mulhouse	accord_fiscalite_aeroport_bale-mulhouse
1575	30	reconnaissance des qualifications professionnelles dans le domaine de la santé	ratification_ordonnance_2017-48_ordonnance_2017-50
1675	386	organisation des jeux olympiques et paralympiques de 2024	jeux_olympiques_paralympiques_2024
1741	0	Élection d'un vice-président et d'un questeur	NULL
1742	57	questions sur l'aménagement du territoire et la revitalisation des centres-villes et centres-bourgs	NULL
1743	58	questions sur la politique nationale du logement	NULL
1744	60	questions sur la politique environnementale du gouvernement	NULL
1745	48	questions sur l'éducation et le recrutement des enseignants	NULL
1755	46	questions sur l'enseignement du premier degré	NULL
1756	69	questions sur la politique du gouvernement à l'égard des migrants	NULL
1757	48	questions sur la situation des hôpitaux	NULL
1758	155	lutte contre la désertification médicale	lutte_desertification_medicale
1763	57	entreprise nouvelle et nouvelles gouvernances	entreprise_nouvelle_nouvelles_gouvernances
1767	28	modalités de dépôt de candidature aux élections	candidatureselections
1782	138	indivision successorale et politique du logement outre-mer	sortie_indivision_successorale_outre-mer
1797	6	allocution de m. wolfgang schäuble président du bundestag	NULL
1798	70	nouveau traité de l'Élysée	nouveau_traite_elysee
1802	0	annulation de l'élection d'un député	NULL
1845	1277	État au service d'une société de confiance	etat_service_societe_confiance
1993	413	transfert des compétences eau et assainissement aux communautés de communes	eau_assainissement_communautes_communes
2017	56	sureté et sécurité des installations nucléaires	surete_securite_installations_nucleaires
2025	208	adaptation au droit de l'union européenne dans le domaine de la sécurité	adaptation_droit_ue_securite
2061	120	reconnaissance comme maladies professionnelles des pathologies psychiques résultant de l'épuisement professionnel	reconnaissance_epuisement_professionnel_maladie
2066	82	utilisation de la voie référendaire pour la ratification du traité de libre-échange entre l'union européenne et le canada	utilisation_referendum_ratification_ceta
2069	0	nomination de deux secrétaires de l'assemblée nationale	NULL
2072	92	accès à l'eau	acces_eau_droit_inalienable
2077	85	récépissé de contrôle d'identité	recepisse_controle_identite
2082	51	euthanasie et suicide assisté pour une fin de vie digne	euthanasie_suicide_assiste
2088	0	souhaits de bienvenue à deux nouveaux députés	NULL
2089	0	souhaits de bienvenue à une délégation étrangère	NULL
2101	517	protection des données personnelles	donnees_personnelles_protection
2130	10	dépôt du rapport annuel de la cour des comptes	NULL
2168	61	ratification de l'ordonnance relative aux services de paiement dans le marché intérieur	ratification_ordonnance_2017-1252
2196	607	Élection des représentants au parlement européen	election_des_representants_parlement_europeen
2226	0	accord avec andorre relatif à la viabilité de routes nationales	NULL
2229	33	protocole no 16 à la convention de sauvegarde des droits de l'homme et des libertés fondamentales	convention_sauvegarde_droits_hommes
2290	41	débat sur la couverture numérique du territoire	NULL
2291	68	questions sur la politique judiciaire et pénitentiaire	NULL
2303	56	questions sur la politique économique en outre-mer	NULL
2304	57	questions sur la politique nationale en matière de sécurité routière et d'aménagement des infrastructures de transport	NULL
2305	51	débat sur la régulation des jeux d'argent et de hasard	NULL
2339	63	questions sur la stratégie de sortie du nucléaire	NULL
2340	58	questions sur l'évolution de la situation au moyen-orient et la reconnaissance de l'État palestinien	NULL
2353	74	interdiction de la pêche électrique	interdiction_peche_electrique_ue
2361	89	premier paquet mobilité	premier_paquet_mobilite
2368	18	accord transport aérien usa-ue-islande-norvège	transport_aerien_usa_ue_islande_norvege
2389	72	accord relatif aux services aériens entre l'union européenne et Israël	services_aeriens_ue_israel
2397	27	convention d'extradition avec les Émirats arabes unis	convention_extradition_emirats_arabes_unis
2404	40	convention d'entraide judiciaire en matière pénale avec les comores	entraide_judiciaire_penale_Comores
2412	121	lutte contre la précarité professionnelle des femmes	lutte_precarite_professionnelle_femmes
2418	42	reconnaissance sociale des aidants	reconnaissance_sociale_aidants
2423	56	gratuité des transports scolaires	gratuite_transports_scolaires
2428	67	liste française des paradis fiscaux	liste_francaise_paradis_fiscaux
2433	42	lutte contre marchands de sommeil	marchands_sommeil_lutte
2446	56	consultation sur l'accession à la pleine souveraineté de la nouvelle-calédonie	organisation_consultation_pleine_souverainete_nouvelle-caledonie
2488	1458	programmation militaire pour les années 2019 à 2025	old_programmation_militaire_2019-2025
2508	1	décès d'un légionnaire en irak	NULL
2578	0	proclamation de deux députés	NULL
2610	0	hommage aux victimes des attentats dans l'aude	NULL
2622	333	protection des savoir-faire et des informations commerciales	protection_savoir-faire_informations_commerciales
2630	0	marche blanche contre l'antisémitisme en mémoire de mireille knoll	NULL
2646	297	régime d'ouverture et de contrôle des établissements privés hors contrat	encadrement_ouverture_etablissements_hors_contrat
2661	8	demande de constitution d'une commission spéciale	NULL
2700	48	débat sur l'application d'une procédure d'amende forfaitaire au délit d'usage illicite de stupéfiants	NULL
2702	65	questions sur la politique du gouvernement en matière de pouvoir d'achat des français.	NULL
2703	40	débat sur les établissements d'hébergement pour personnes âgées dépendantes	NULL
2718	58	questions sur le financement de l'aide publique au développement	NULL
2719	65	questions sur le financement des grandes infrastructures	NULL
2720	77	questions sur le programme de privatisations du gouvernement	NULL
2721	56	questions sur la politique et l'emploi industriels	NULL
2722	167	exonération fiscale et sociale des heures supplémentaires	exoneration_fiscale_sociale_heures_supplementaires
2727	123	augmentation du pouvoir d'achat grâce à la création d'un ticket-carburant	augmentation_pouvoir_achat_ticket-carburant
2732	108	attribution de la carte du combattant aux soldats engagés en algérie entre le 2 juillet 1962 et le 1er juillet 1964	carte_combattant_soldats_algerie
2737	292	accueil des gens du voyage et lutte contre les installations illicites	soutien_collectivites_accueil_gens_voyage
2750	1633	nouveau pacte ferroviaire	nouveau_pacte_ferroviaire
2807	0	accord france-allemagne sur l'emploi transfrontalier d'aéronefs	accord_allemagne_emploi_transfrontalier_aeronefs
2832	104	déclaration du gouvernement sur l'intervention des forcées armées françaises en syrie et débat sur cette déclaration.	NULL
2833	3918	immigration maîtrisée droit d'asile effectif et intégration réussie	immigration_maitrisee_droit_asile_effectif
2872	0	proclamation d'un député	NULL
2873	28	allocution de m. justin trudeau premier ministre du canada	NULL
2894	86	déclaration du gouvernement sur le projet de programme de stabilité pour les années 2018-2022 suivie d'un débat et d'un vote sur cette déclaration	NULL
2910	0	hommage à une collaboratrice de députée	NULL
2933	0	modification de l'ordre du jour prioritaire	NULL
2987	0	souhaits de bienvenue à deux nouvelles députées	NULL
2990	79	questions sur la réforme des institutions	NULL
2994	898	lutte contre les violences sexuelles et sexistes	lutte_violences_sexuelles_sexistes
3034	0	hommage aux victimes de l'attaque terroriste du 12 mai	NULL
3075	88	engagement associatif	engagement_association
3088	23	droit voisin au profit des éditeurs de services de presse en ligne	droit_voisin_editeurs_presse_ligne
3093	41	prestation de compensation du handicap	amelioration_prestation_compensation_handicap
3103	25	désignation aléatoire des comités de protection des personnes	expertise_comites_protection_personnes
3123	3819	Équilibre dans le secteur agricole et alimentaire	equilibre_relations_commerciales_agriculture
3143	0	approbation d'un accord international	NULL
3146	111	présence des parlementaires dans les organismes extérieurs au parlement	presence_parlementaires_organismes_exterieurs
3339	4401	Évolution du logement de l'aménagement et du numérique	evolution_logement_amenagement_numerique
3536	206	encadrement de l'utilisation du téléphone portable dans les écoles et les collèges	interdiction_usage_telephone_portable_ecoles_colleges
3551	317	lutte contre la manipulation de l'information	fausses_informations_lutte
3632	2104	liberté de choisir son avenir professionnel	choix_avenir_professionnel
3825	0	convocation du parlement en session extraordinaire	NULL
3826	46	questions sur les annulations de crédits en 2017	NULL
3827	47	mettre le peuple et ses aspirations au coeur des débats budgétaires	aspirations_peuple_coeur_debats_budgetaires
3928	0	convocation du parlement en congrès	NULL
3946	24	moyens nécessaires à la participation du ministère de la justice à l'effort national de lutte contre le terrorisme	moyens_justice_effort_lutte_terrorisme
3923	21	décote applicable aux cessions de biens et actifs immobiliers du domaine privé de l'État	decote_cessions_actifs_immobiliers_domaine_prive_etat
3922	25	débat sur le rapport de la cour des comptes sur le budget de l'État	NULL
3857	78	réduction des inégalités entre les français et les territoires	NULL
3861	25	suivi et pilotage de la production de logements sociaux	suivi_pilotage_production_logements_sociaux
3866	19	lutte contre la pollution du transport maritime et promotion des carburants marins alternatifs	lutte_pollution_transport_maritime
3872	0	souhaits de bienvenue à la classe lauréate de la vingt-deuxième édition du parlement des enfants	NULL
3883	23	pilotage de la recherche publique	renforcement_pilotage_recherche_publique
3888	14	révision générale des taxes à faible rendement	NULL
3893	27	certificats d'économie d'énergie	certificats_economie_energie
3898	161	règlement du budget et approbation des comptes de l'année 2017	reglement_comptes_2017
3913	198	vitesses maximales autorisées par la police de la circulation	pouvoir_adaptation_vitesses_maximales_police_circulation
3918	78	lutte contre les groupuscules prônant la violence	lutte_groupuscules_violence
3951	17	autonomie fiscale des collectivités territoriales	promotion_autonomie_fiscale_collectivites
3963	123	renforcement des droits des consommateurs en matière de démarchage téléphonique	renforcement_droits_consommateurs_demarchage_telephonique
3983	81	défense du droit de propriété	defense_droit_propriete
