id	nb_interventions	titre	id_dossier_an
1	1	NULL	NULL
2	0	ouverture de la xve législature	NULL
3	1	constitution du bureau d'âge	NULL
4	1	communication de la liste des députés	NULL
5	1	députés nommés membres du gouvernement	NULL
6	1	décès de deux députés de la xive législature	NULL
7	1	allocution du doyen d'âge	NULL
8	6	Élection du président de l'assemblée nationale	NULL
9	0	allocution de m. le président	NULL
10	0	ordre du jour de la prochaine séance	NULL
11	49	Élection des six vice-présidents et des trois questeurs et nomination des douze secrétaires de l'assemblée nationale	NULL
12	0	installation du bureau	NULL
13	0	communication de m. le président	NULL
14	0	convocation de la conférence des présidents	NULL
15	0	constitution du parlement en congrès	NULL
16	0	hommage à simone veil	NULL
17	4	déclaration de m. le président de la république	NULL
18	28	débat sur la déclaration du président de la république	NULL
19	0	clôture de la session du congrès	NULL
20	0	ouverture de la session extraordinaire	NULL
21	225	déclaration de politique générale du gouvernement débat et vote sur cette déclaration	NULL
54	0	requêtes en contestation d'opérations électorales	NULL
39	6495	questions au gouvernement	NULL
55	213	prorogation de l'état d'urgence	prorogation_loi_etat_urgence
73	2971	renforcement du dialogue social	ratification_ordonnances_loi2017-1340
114	217	règlement du budget et approbation des comptes de l'année 2016	reglement_comptes_2016
128	146	ordonnances relatives à l'élaboration des décisions ayant une incidence sur l'environnement	ratification_ordonnances_2016-1058_2016_1060
148	131	modernisation du système de santé – profession de physicien médical et qualifications professionnelles dans le domaine de la santé – fonctionnement des ordres des professions de santé	ratification_ordonnance_2017-644
165	203	débat d'orientation des finances publiques	NULL
166	0	cessation de mandat et remplacement de députés nommés au gouvernement	NULL
167	3763	confiance dans la vie publique	retablissement_confiance_action_publique
190	0	hommage au père hamel	NULL
204	1	hommage à la mémoire de corinne erhel	NULL
297	0	approbation de conventions et d'accords internationaux	convention_entraide_judiciaire_penale_algerie
302	29	répression d'actes illicites en matière de navigation maritime	repression_actes_illicites_navigation_maritime
309	16	modification du code des juridictions financières	ratification_ordonnance_2016-1360
328	0	hommage aux militaires de l'opération sentinelle agressés à levallois-perret	NULL
344	0	clôture de la session extraordinaire	NULL
345	0	démission et remplacement d'un député	NULL
346	1836	sécurité intérieure et lutte contre le terrorisme	securite_interieure_lutte_terrorisme
404	0	ouverture de la session ordinaire	NULL
405	0	hommage aux victimes des attentats de marseille et de las vegas	NULL
419	764	fin de la recherche et de l'exploitation des hydrocarbures	fin_recherche_exploitation_hydrocarbures
442	0	approbation d'une convention et de plusieurs accords internationaux	NULL
487	45	déclaration du gouvernement suivie d'un débat sur l'avenir de l'union européenne	NULL
488	321	modification du règlement de l'assemblée nationale	reglement_assemblee_nationale_modification
511	181	compétitivité de l'agriculture française	allegement_charges_agriculture
516	294	maintien des compétences eau et assainissement dans les compétences optionnelles des communautés de communes	competences_communautes_communes_eau_assainissement
535	8911	projet de loi de programmation des finances publiques pour les années 2018 à 2022 - projet de loi de finances pour 2018	loi_finances_2018
646	2666	projet de loi de financement de la sécurité sociale pour 2018	plfss_2018
783	0	modification de la composition du bureau	NULL
815	2110	projet de loi de finances rectificative pour 2017	deuxieme_collectif_budgetaire_2017
845	0	election de deux vice-présidents de l'assemblée nationale	NULL
846	4	fixation de l'ordre du jour	NULL
913	0	Élection des juges à la cour de justice de la république	NULL
939	0	prestation de serment de juges de la cour de justice de la république	NULL
1025	0	prestation de serment d'une juge titulaire de la cour de justice de la république	NULL
1032	112	création de l'établissement public paris la défense	ratification_ordonnance_2017-717
1048	73	promotion des symboles de l'union européenne	promotion_symboles_ue
1105	47	reconnaissance de l'engagement associatif	reconnaissance_engagement_associatif
1109	262	compétences des collectivités territoriales dans le domaine de la gestion des milieux aquatiques et de la prévention des inondations	gestion_milieux_aquatiques_collectivites
1128	110	résidence de l'enfant en cas de séparation des parents	garde_alternee_enfants
1180	0	décès de johnny hallyday	NULL
1213	81	dons de jours de repos non pris aux aidants familiaux	dons_jours_repos_aidants_familiaux
1224	115	taxe sur les transferts de sportifs professionnels	sportifs_professionnels_taxe_transferts
1228	6	rappel à l'ordre	NULL
1230	104	création d'une agence nationale pour la cohésion des territoires	agence_nationale_cohesion_territoires
1235	461	bonne application du régime d'asile européen	bonne_application_asile_europeen
1270	0	annulation de l'élection de deux députés	NULL
1271	119	réforme du droit des contrats du régime général et de la preuve des obligations	ratification_ordonnance_2016_131
1300	1144	questions orales sans débat	NULL
1344	918	orientation et réussite des étudiants	orientation_reussite_etudiants
1380	0	hommage aux victimes de l'accident de millas	NULL
